relative_path,filename,dimensions_x_y_z,triangles,candidate_categories
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Rock_3_J_Color1.gltf,Rock_3_J_Color1.gltf,1.973 x 1.736 x 1.896,168,rocks
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Rock_3_K_Color1.gltf,Rock_3_K_Color1.gltf,2.608 x 2.59 x 2.223,168,rocks
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Rock_3_L_Color1.gltf,Rock_3_L_Color1.gltf,2.618 x 2.559 x 2.268,168,rocks
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Rock_3_M_Color1.gltf,Rock_3_M_Color1.gltf,3.434 x 2.809 x 3.6,320,rocks
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Rock_3_N_Color1.gltf,Rock_3_N_Color1.gltf,3.425 x 2.985 x 3.526,320,rocks
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Rock_3_O_Color1.gltf,Rock_3_O_Color1.gltf,3.476 x 2.933 x 3.472,320,rocks
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Rock_3_P_Color1.gltf,Rock_3_P_Color1.gltf,3.29 x 2.874 x 3.683,320,rocks
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Rock_3_Q_Color1.gltf,Rock_3_Q_Color1.gltf,4.65 x 4.478 x 3.717,320,rocks
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Rock_3_R_Color1.gltf,Rock_3_R_Color1.gltf,5.163 x 4.215 x 3.847,320,rocks
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Tree_1_A_Color1.gltf,Tree_1_A_Color1.gltf,3.181 x 3.251 x 4.161,530,trees/vegetation
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Tree_1_B_Color1.gltf,Tree_1_B_Color1.gltf,4.007 x 3.445 x 4.93,636,trees/vegetation
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Tree_1_C_Color1.gltf,Tree_1_C_Color1.gltf,6.691 x 5.753 x 7.814,1364,trees/vegetation
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Tree_2_A_Color1.gltf,Tree_2_A_Color1.gltf,2.6 x 2.0 x 4.675,336,trees/vegetation
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Tree_2_B_Color1.gltf,Tree_2_B_Color1.gltf,3.7 x 2.1 x 6.042,492,trees/vegetation
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Tree_2_C_Color1.gltf,Tree_2_C_Color1.gltf,4.6 x 3.4 x 6.92,648,trees/vegetation
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Tree_2_D_Color1.gltf,Tree_2_D_Color1.gltf,4.74 x 4.034 x 8.088,1428,trees/vegetation
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Tree_2_E_Color1.gltf,Tree_2_E_Color1.gltf,6.051 x 5.677 x 8.792,1560,trees/vegetation
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Tree_3_A_Color1.gltf,Tree_3_A_Color1.gltf,3.093 x 3.093 x 3.507,978,trees/vegetation
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Tree_3_B_Color1.gltf,Tree_3_B_Color1.gltf,4.129 x 4.129 x 4.353,988,trees/vegetation
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Tree_3_C_Color1.gltf,Tree_3_C_Color1.gltf,5.632 x 4.625 x 5.792,2228,trees/vegetation
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Tree_4_A_Color1.gltf,Tree_4_A_Color1.gltf,2.007 x 2.004 x 5.274,404,trees/vegetation
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Tree_4_B_Color1.gltf,Tree_4_B_Color1.gltf,2.574 x 2.27 x 6.943,522,trees/vegetation
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Tree_4_C_Color1.gltf,Tree_4_C_Color1.gltf,3.735 x 2.869 x 10.774,982,trees/vegetation
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Tree_Bare_1_A_Color1.gltf,Tree_Bare_1_A_Color1.gltf,1.129 x 1.034 x 2.857,324,trees/vegetation
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Tree_Bare_1_B_Color1.gltf,Tree_Bare_1_B_Color1.gltf,1.965 x 1.451 x 3.251,332,trees/vegetation
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Tree_Bare_1_C_Color1.gltf,Tree_Bare_1_C_Color1.gltf,3.737 x 2.074 x 5.255,936,trees/vegetation
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Tree_Bare_2_A_Color1.gltf,Tree_Bare_2_A_Color1.gltf,1.196 x 0.6 x 3.843,404,trees/vegetation
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Tree_Bare_2_B_Color1.gltf,Tree_Bare_2_B_Color1.gltf,1.788 x 0.664 x 5.542,448,trees/vegetation
KayKit_Forest_Nature_Pack_1.0_FREE/Assets/gltf/Tree_Bare_2_C_Color1.gltf,Tree_Bare_2_C_Color1.gltf,1.578 x 1.104 x 7.614,634,trees/vegetation
